"ppnr" "TimePerception" "Valence" "Arousal" "Condition"
"308" 16 -0.706666667 5 2 1
"309" 16 -0.711111111 1 9 1
"310" 16 -0.666666667 1 8 1
"311" 16 -0.6 5 1 0
"312" 16 -0.666666667 4 1 0
"313" 16 -0.4 5 1 0
"314" 16 -0.6875 6 4 0
"315" 16 -0.666666667 7 7 0
"316" 16 -0.571428571 5 6 0
"317" 16 -0.636363636 4 5 0
"318" 16 -0.722222222 5 2 0
"319" 16 -0.7 5 6 0
"320" 16 -0.75 5 1 0
"321" 17 1 5 2 1
"322" 17 0.6 5 2 1
"323" 17 1 7 4 1
"324" 17 0.125 7 7 1
"325" 17 0.333333333 6 6 1
"326" 17 -0.285714286 5 3 1
"327" 17 0.636363636 5 7 1
"328" 17 0.666666667 6 6 1
"329" 17 0.5 2 4 1
"330" 17 0 4 5 1
"331" 17 0.5 5 2 0
"332" 17 0.5 6 4 0
"333" 17 -0.285714286 7 4 0
"334" 17 -0.181818182 7 7 0
"335" 17 0 7 6 0
"336" 17 0 6 3 0
"337" 17 0.111111111 6 5 0
"338" 17 0.2 4 7 0
"339" 17 0.666666667 1 6 0
"340" 17 -0.333333333 2 6 0
"341" 18 -0.2 5 1 1
"342" 18 -0.2 5 3 1
"343" 18 0.333333333 8 6 1
"344" 18 0.5 9 9 1
"345" 18 0.333333333 6 6 1
"346" 18 0.428571429 6 7 1
"347" 18 0.090909091 4 6 1
"348" 18 -0.166666667 7 7 1
"349" 18 -0.25 5 6 1
"350" 18 0 5 3 1
"351" 18 0.5 5 4 0
"352" 18 0.5 5 6 0
"353" 18 -0.285714286 9 9 0
"354" 18 0.090909091 8 8 0
"355" 18 0.5 7 7 0
"356" 18 0 5 1 0
"357" 18 -0.166666667 1 8 0
"358" 18 0.2 1 8 0
"359" 18 0.333333333 1 8 0
"360" 18 -0.333333333 1 8 0
"361" 19 -0.65 6 6 1
"362" 19 0.625 6 6 1
"363" 19 -0.571428571 8 7 1
"364" 19 0.181818182 7 8 1
"365" 19 -0.5 7 8 1
"366" 19 -0.6 6 7 1
"367" 19 -0.444444444 7 7 1
"368" 19 -0.466666667 7 7 1
"369" 19 0.222222222 6 8 1
"370" 19 -0.5 7 8 1
"371" 19 -0.2 7 7 0
"372" 19 0.2 7 6 0
"373" 19 0.333333333 7 4 0
"374" 19 0.25 8 8 0
"375" 19 -0.111111111 7 8 0
"376" 19 -0.571428571 7 7 0
"377" 19 0.181818182 6 5 0
"378" 19 -0.611111111 7 8 0
"379" 19 -0.25 6 5 0
"380" 19 -0.5 7 7 0
"381" 20 0 2 2 1
"382" 20 0.6 2 1 1
"383" 20 -0.666666667 4 2 1
"384" 20 -0.25 5 3 1
"385" 20 -0.5 5 6 1
"386" 20 -0.285714286 6 6 1
"387" 20 -0.590909091 6 5 1
"388" 20 0.111111111 3 4 1
"389" 20 -0.25 7 6 1
"390" 20 -0.5 6 5 1
"391" 20 -0.5 2 1 0
"392" 20 0.25 3 1 0
"393" 20 0.428571429 8 5 0
"394" 20 0.090909091 7 6 0
"395" 20 -0.25 8 8 0
"396" 20 -0.5 5 5 0
"397" 20 0.111111111 3 7 0
"398" 20 -0.6 1 3 0
"399" 20 -0.333333333 1 5 0
"400" 20 -0.333333333 1 5 0
"401" 21 -0.5 5 2 1
"402" 21 -0.6 5 2 1
"403" 21 0 7 3 1
"404" 21 -0.5 7 6 1
"405" 21 -0.555555556 7 7 1
"406" 21 -0.285714286 7 6 1
"407" 21 -0.272727273 3 4 1
"408" 21 -0.444444444 4 2 1
"409" 21 -0.5 2 8 1
"410" 21 -0.5 3 6 1
"411" 21 -0.5 5 2 0
"412" 21 -0.625 5 2 0
"413" 21 -0.571428571 6 3 0
"414" 21 -0.636363636 6 4 0
"415" 21 -0.625 7 7 0
"416" 21 -0.5 7 6 0
"417" 21 -0.444444444 4 3 0
"418" 21 -0.6 3 4 0
"419" 21 -0.555555556 3 6 0
"420" 21 -0.666666667 3 7 0
"421" 22 -0.1 5 1 1
"422" 22 -0.25 5 2 1
"423" 22 -0.142857143 6 2 1
"424" 22 -0.363636364 5 4 1
"425" 22 0.1 5 4 1
"426" 22 -0.2 5 3 1
"427" 22 -0.111111111 3 3 1
"428" 22 -0.2 4 4 1
"429" 22 -0.111111111 5 5 1
"430" 22 -0.166666667 3 5 1
"431" 22 -0.3 5 1 0
"432" 22 -0.2 6 2 0
"433" 22 0 7 5 0
"434" 22 -0.25 6 3 0
"435" 22 -0.333333333 6 5 0
"436" 22 0 5 3 0
"437" 22 -0.181818182 4 2 0
"438" 22 -0.166666667 4 3 0
"439" 22 -0.25 5 5 0
"440" 22 -0.3 4 4 0
"441" 23 -0.25 4 4 1
"442" 23 0.875 5 5 1
"443" 23 0.428571429 9 8 1
"444" 23 0.363636364 8 6 1
"445" 23 0.125 8 7 1
"446" 23 -0.5 5 6 1
"447" 23 0.111111111 3 5 1
"448" 23 0.6 6 7 1
"449" 23 1 1 6 1
"450" 23 -0.333333333 1 7 1
"451" 23 0 5 2 0
"452" 23 1 4 2 0
"453" 23 1 9 5 0
"454" 23 0.5 8 7 0
"455" 23 0 5 5 0
"456" 23 -0.285714286 6 5 0
"457" 23 0.909090909 4 4 0
"458" 23 0.111111111 7 5 0
"459" 23 -0.25 3 5 0
"460" 23 -0.5 1 8 0
"461" 24 -0.5 3 1 1
"462" 24 2.2 7 7 1
"463" 24 0 4 1 1
"464" 24 1.625 8 7 1
"465" 24 0.666666667 6 6 1
"466" 24 -0.285714286 6 6 1
"467" 24 -0.181818182 6 6 1
"468" 24 0.111111111 6 6 1
"469" 24 0.5 7 7 1
"470" 24 -0.5 6 5 1
"471" 24 0 7 6 0
"472" 24 -0.25 7 7 0
"473" 24 -0.571428571 4 4 0
"474" 24 0.636363636 8 6 0
"475" 24 -0.25 8 6 0
"476" 24 -0.3 5 5 0
"477" 24 -0.333333333 7 6 0
"478" 24 0.4 7 6 0
"479" 24 0.666666667 9 8 0
"480" 24 1 7 7 0
"481" 25 -0.25 5 5 1
"482" 25 -0.5 5 5 1
"483" 25 -0.571428571 7 5 1
"484" 25 -0.318181818 8 7 1
"485" 25 -0.25 8 7 1
"486" 25 -0.4 6 6 1
"487" 25 0.111111111 4 6 1
"488" 25 -0.333333333 4 6 1
"489" 25 0 7 7 1
"490" 25 -0.066666667 2 8 1
"491" 25 -0.1 5 4 0
"492" 25 0.266666667 5 6 0
"493" 25 3 8 4 0
"494" 25 -0.125 7 7 0
"495" 25 0.222222222 8 8 0
"496" 25 -0.428571429 4 6 0
"497" 25 0.454545455 5 5 0
"498" 25 -0.611111111 5 5 0
"499" 25 0.125 2 8 0
"500" 25 -0.4 3 7 0
"501" 26 -0.25 6 1 1
"502" 26 0.125 5 1 1
"503" 26 0.142857143 6 3 1
"504" 26 -0.045454545 6 2 1
"505" 26 -0.375 6 5 1
"506" 26 -0.4 5 2 1
"507" 26 0.111111111 5 1 1
"508" 26 -0.4 6 2 1
"509" 26 -0.333333333 4 4 1
"510" 26 -0.333333333 3 3 1
"511" 26 0 5 1 0
"512" 26 -0.4 3 1 0
"513" 26 -0.333333333 6 2 0
"514" 26 0.5 7 3 0
"515" 26 -0.666666667 6 2 0
"516" 26 0.142857143 5 2 0
"517" 26 -0.454545455 6 2 0
"518" 26 -0.166666667 6 2 0
"519" 26 -0.25 7 3 0
"520" 26 -0.5 4 2 0
"521" 27 -0.3 6 3 1
"522" 27 -0.2 5 2 1
"523" 27 0 6 4 1
"524" 27 0.125 8 6 1
"525" 27 -0.333333333 8 7 1
"526" 27 -0.571428571 8 7 1
"527" 27 0.090909091 2 7 1
"528" 27 -0.166666667 4 4 1
"529" 27 -0.625 3 6 1
"530" 27 -0.75 3 7 1
"531" 27 -0.5 5 2 0
"532" 27 -0.4375 5 3 0
"533" 27 -0.285714286 9 7 0
"534" 27 -0.636363636 6 5 0
"535" 27 -0.5 7 8 0
"536" 27 -0.5 7 6 0
"537" 27 -0.166666667 3 7 0
"538" 27 -0.2 2 7 0
"539" 27 -0.555555556 1 8 0
"540" 27 -0.666666667 1 7 0
"541" 28 0 6 2 1
"542" 28 -0.5 6 3 1
"543" 28 -0.428571429 6 2 1
"544" 28 -0.272727273 7 4 1
"545" 28 -0.525 7 3 1
"546" 28 -0.4 7 4 1
"547" 28 -0.388888889 5 3 1
"548" 28 -0.413333333 3 4 1
"549" 28 -0.333333333 3 4 1
"550" 28 -0.5 3 3 1
"551" 28 -0.3 5 2 0
"552" 28 -0.2 5 3 0
"553" 28 -0.333333333 7 4 0
"554" 28 -0.375 6 4 0
"555" 28 -0.555555556 6 3 0
"556" 28 -0.285714286 5 2 0
"557" 28 -0.545454545 4 4 0
"558" 28 -0.166666667 4 3 0
"559" 28 -0.55 4 3 0
"560" 28 -0.6 4 2 0
"561" 29 -0.6 5 1 1
"562" 29 1 5 5 1
"563" 29 -0.733333333 5 5 1
"564" 29 -0.5 6 5 1
"565" 29 0 5 6 1
"566" 29 -0.571428571 6 6 1
"567" 29 0.090909091 2 6 1
"568" 29 -0.444444444 5 5 1
"569" 29 -0.5 4 5 1
"570" 29 -0.7 3 6 1
"571" 29 -0.6 3 2 0
"572" 29 -0.25 4 2 0
"573" 29 -0.428571429 6 4 0
"574" 29 0.090909091 7 5 0
"575" 29 -0.75 6 6 0
"576" 29 -0.5 5 5 0
"577" 29 -0.722222222 2 6 0
"578" 29 0.6 2 5 0
"579" 29 0.666666667 1 9 0
"580" 29 0 1 9 0
